Experiment,Model,Acc_mean,Acc_std,Prec_mean,Prec_std,Rec_mean,Rec_std,F1_mean,F1_std,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std
A1_Structured,LR,0.7452767114007355,0.00850879077321847,0.5128251213197361,0.010486783764510994,0.8062952502473083,0.018792214302040127,0.6268540023521634,0.012039070362507513,0.8445187256435656,0.013985125714730711,0.6559194895330902,0.028039033980430166,0.474208073678896,0.01863271855603047
A1_Structured,RF,0.7476909800632299,0.0065677952110923836,0.5156977409562818,0.007968722538290503,0.8052228641883271,0.02419653587192758,0.6286659817174113,0.012539076355461322,0.8444449933264803,0.01265144510979243,0.6547523063091043,0.026905934745103426,0.47699398121226216,0.019675180797091064
A1_Structured,XGB,0.7509566141363958,0.011248953530324422,0.5203368007422539,0.014378150520305109,0.7993534142879671,0.011171843261427106,0.630243136763266,0.012162817824290198,0.8431784928065233,0.012164801665742473,0.6511129122371149,0.025167069685653427,0.47887838572633806,0.01834489960074589
A1_Structured,MLP,0.7976665833279567,0.015494534769280543,0.6437209951311376,0.04404467607011921,0.5393026623274219,0.02278006789685412,0.5861538631671769,0.02467896260507673,0.8406893814424453,0.015275006356972147,0.6456408033691938,0.028173390249683225,0.4573088096060922,0.037261251278697956
A1_Structured,LGBM,0.7498208553777663,0.008597090404662272,0.5191226451338089,0.011134938387290698,0.7843744175710742,0.013730627999717405,0.6246728005201738,0.010103441858579598,0.8423426234178274,0.01149467060781458,0.6572433051132804,0.024128340907467995,0.4701039216447975,0.015316944709273056
A1_Structured,Stack,0.7999397138525066,0.01172898567515364,0.6361239784165852,0.02317838035325239,0.5740749236570085,0.031771817003251775,0.6033688441573032,0.027180419495090407,0.845357902778541,0.013607224976420309,0.6617141340724672,0.029759995181269528,0.471302598333099,0.03385359034743852
A2_Struct+Eng,LR,0.7481180237434673,0.007238704420111072,0.5163376704101745,0.008790186348618587,0.8063009849321157,0.015635326947136808,0.6294837551459485,0.009849879919269737,0.8489880663345349,0.011614868015241059,0.6708431793752847,0.017777650747453015,0.47813346619406866,0.015278848741660769
A2_Struct+Eng,RF,0.7543641928511517,0.00958327803927585,0.5250922982393142,0.012635522250170577,0.782760103797795,0.011991482187092287,0.6285007690272894,0.01212135152116904,0.8420119081059042,0.011439206125711626,0.6514327292485709,0.02297166446807434,0.47579670495324855,0.018312803849162885
A2_Struct+Eng,XGB,0.7539376532356927,0.010836045932786139,0.5244142344470168,0.014147498637976978,0.7897234448251638,0.012894249417171577,0.6301979576071013,0.012663859773794696,0.8425479414420607,0.011196381450598899,0.6542008684295261,0.021248481170873745,0.4785110496768069,0.019146122878510047
A2_Struct+Eng,MLP,0.796390190496161,0.010899797280021066,0.6449135659891175,0.029941317771922608,0.5216269300798555,0.04673587212479163,0.5752711378278765,0.03142256968203199,0.8410451667437207,0.014132742810923391,0.6584693098319584,0.02521857702731516,0.44882315036521475,0.03331962926716169
A2_Struct+Eng,LGBM,0.7570611410413577,0.011565643571383946,0.5290555354956608,0.015409226575285151,0.7747444481082708,0.017944589338776476,0.628676483012498,0.015468255829246295,0.8436544073534499,0.010672644363871938,0.6560195907597903,0.024224391581355142,0.47601471879874246,0.023352373856339998
A2_Struct+Eng,Stack,0.8053363321827215,0.008337555055878182,0.6512017124197429,0.01885960520548705,0.5740964287250362,0.015644593414382506,0.6101807224743945,0.016341429843592225,0.8491137556654657,0.011649757675226463,0.6704222268865543,0.018948786547131825,0.48287415255150756,0.02200604651202055
A3_Struct+all_MiniLM_L6_v2,LR,0.7427209013484741,0.010591871850860916,0.5098330352978042,0.012899556194423515,0.796131955097418,0.020913179568783094,0.6215497373219977,0.014964800574468326,0.8410784127977463,0.014122626460671767,0.6504509850825005,0.022000381890157187,0.4657286439960984,0.023199421155638684
A3_Struct+all_MiniLM_L6_v2,RF,0.7448517847925672,0.00931906766313871,0.5124795577871495,0.011652637352147345,0.7950552680248311,0.022777404644715483,0.623144164508662,0.013858527300086076,0.8363647224728247,0.012431858250781,0.6342000064363689,0.029273770633609444,0.46819273401345685,0.021312931024873524
A3_Struct+all_MiniLM_L6_v2,XGB,0.741727792922124,0.01128087315192919,0.5089778152162726,0.014148371745843876,0.7811500910381213,0.017591661503670402,0.6162349916474766,0.013421341204346165,0.834995882688788,0.012441099312408775,0.6356857637570049,0.0244302290408185,0.4572133885949962,0.02046537854677471
A3_Struct+all_MiniLM_L6_v2,MLP,0.7870214408994128,0.010574211639944637,0.6251480260826054,0.03154374637671356,0.49863514501584205,0.04634220991546963,0.5531784136957176,0.029052932583471986,0.8267372971946652,0.014367477553548188,0.6247118949644392,0.029971371777807097,0.42153736709464146,0.031992667696399905
A3_Struct+all_MiniLM_L6_v2,LGBM,0.753938762178205,0.013636162485963995,0.5254040280358663,0.018326052224547893,0.7645625152327564,0.01900058836716857,0.6226578225264906,0.016772921243903418,0.8344401917597546,0.012391139634540941,0.640275178296522,0.021834967805717965,0.4668968665142428,0.025235306764017754
